time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
1.909786,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.921519,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.930016,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.939914,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.949996,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.959967,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.971433,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.981663,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.991114,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.000289,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.010019,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.020534,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.030055,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.040274,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.050056,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.061266,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.070008,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.079863,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.089978,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.099989,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.109984,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.119842,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.130042,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.140022,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.150002,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.161047,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.170091,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.180029,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.190752,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.201106,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.209992,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.220000,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
